Observation URI,references,refArea,PercentageofEducationlevelofresidents-illeterate,PercentageofSchooldropout,PercentageofEducationlevelofresidents-university,publisher,PercentageofEducationlevelofresidents-secondary,PercentageofEducationlevelofresidents-intermediate,PercentageofEducationlevelofresidents-vocational,PercentageofEducationlevelofresidents-elementary,PercentageofEducationlevelofresidents-highereducation,refArea District,refArea Governorate,Town,dataset
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabrine,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,4e+01,Impact Open Data,3e+01,1e+01,1e+01,5e+00,5e+00,Batroun_District,North_Governorate,Aabrine,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aachach,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,4e+01,Impact Open Data,1e+01,0e+00,2e+01,0e+00,3e+01,Zgharta_District,North_Governorate,Aachach,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aachqout,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Keserwan_District,Mount_Lebanon_Governorate,Aachqout,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,nan,3e+00,0e+00,1.6e+01,Impact Open Data,2e+01,2.2e+01,1.8e+01,1.6e+01,5e+00,Marjeyoun_District,Nabatieh_Governorate,Aadaysseh Marjaayoun,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Nabatieh_District,Nabatieh_Governorate,Aadchit Ech-Chqif,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,5e+00,1.5e+01,Impact Open Data,1.4e+01,1.5e+01,1e+01,3.5e+01,1e+00,Marjeyoun_District,Nabatieh_Governorate,Aadchit El-Qoussair,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadloun,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Sidon_District,South_Governorate,Aadloun,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,1e+00,1.4e+01,Impact Open Data,2e+01,4e+01,3e+00,2e+01,1e+00,Sidon_District,South_Governorate,Aadoussiyeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,2e+01,Impact Open Data,2e+01,4e+01,1e+01,0e+00,1e+01,Koura_District,North_Governorate,Aafsdiq,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,1.2e+01,Impact Open Data,1e+01,1e+01,5e+00,6e+01,3e+00,Aley_District,Mount_Lebanon_Governorate,Aain Aanoub,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,1e+01,1e+01,Impact Open Data,2e+01,3e+01,1e+01,2e+01,5e+00,Rashaya_District,Beqaa_Governorate,Aain Aarab Rachaya,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,0e+00,3e+00,Impact Open Data,1e+01,2e+01,1e+01,5e+01,2e+00,Rashaya_District,Beqaa_Governorate,Aain Aata,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aley_District,Mount_Lebanon_Governorate,Aain Dara,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,5e+00,1e+01,Impact Open Data,2e+01,2.5e+01,1e+01,2e+01,5e+00,Aley_District,Mount_Lebanon_Governorate,Aain Drafil,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,0e+00,1.6e+01,Impact Open Data,3.5e+01,3e+01,1e+01,5e+00,3e+00,Sidon_District,South_Governorate,Aain Ed-Delb,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,nan,2e+01,5e+00,2e+01,Impact Open Data,1e+01,1e+01,2e+01,2e+01,0e+00,Byblos_District,Mount_Lebanon_Governorate,Aain Ed-Delbe,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,3.5e+01,Impact Open Data,3.5e+01,1e+01,1e+01,5e+00,5e+00,Aley_District,Mount_Lebanon_Governorate,Aain Ej-Jdideh Aaley,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,2e+01,Impact Open Data,2e+00,5e+00,1e+01,5.3e+01,1e+01,Aley_District,Mount_Lebanon_Governorate,Aain El Saydeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,0e+00,3e+01,Impact Open Data,2e+01,1.5e+01,1e+01,1e+01,1e+01,Byblos_District,Mount_Lebanon_Governorate,Aain El-Ghouaybeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,NaN,1.5e+01,Impact Open Data,3e+01,NaN,5e+00,NaN,NaN,Matn_District,Mount_Lebanon_Governorate,Aain El-Kharroubeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,2.5e+01,Impact Open Data,2e+01,2e+01,1e+01,1e+01,1.5e+01,Matn_District,Mount_Lebanon_Governorate,Aain El-Qabu,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Keserwan_District,Mount_Lebanon_Governorate,Aain Er-Rihane,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aley_District,Mount_Lebanon_Governorate,Aain Er-Roummaneh Aaley,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,nan,3e+00,1e+01,3.5e+01,Impact Open Data,3e+01,1.5e+01,2e+00,1e+01,5e+00,Matn_District,Mount_Lebanon_Governorate,Aain Es-Sindiane,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,3e+01,Impact Open Data,3e+01,1e+01,5e+00,2e+01,5e+00,Matn_District,Mount_Lebanon_Governorate,Aain Et-Teffaha,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,5e+00,3e+01,Impact Open Data,2e+01,1.8e+01,2e+01,5e+00,2e+00,MiniyehâDanniyeh_District,North_Governorate,Aain Et-Tineh-Miniyeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,nan,2e+01,2e+00,1.5e+01,Impact Open Data,1.5e+01,1.5e+01,1.5e+01,1.5e+01,5e+00,Akkar_District,Akkar_Governorate,Aain Ez-Zeit,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,3.5e+01,Impact Open Data,1e+01,2e+01,1e+01,1e+01,1.5e+01,Matn_District,Mount_Lebanon_Governorate,Aain Ez-Zeitouneh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aley_District,Mount_Lebanon_Governorate,Aain Fraidis,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,nan,3e+00,2e+00,2e+01,Impact Open Data,3e+01,3e+01,2e+00,1e+01,5e+00,Rashaya_District,Beqaa_Governorate,Aain Harsha,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,0e+00,2e+01,Impact Open Data,2e+01,2e+01,1.5e+01,1.3e+01,1e+01,Bint_Jbeil_District,Nabatieh_Governorate,Aain Ibl,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,nan,2e+01,0e+00,8e+00,Impact Open Data,1e+01,1.5e+01,2.5e+01,2e+01,2e+00,Hasbaya_District,Nabatieh_Governorate,Aain Jarfa,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,0e+00,2.2e+01,Impact Open Data,2e+01,4e+01,1e+01,3e+00,4e+00,Byblos_District,Mount_Lebanon_Governorate,Aain Jrain,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Kfaa,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,2e+01,Impact Open Data,2e+01,2e+01,1e+01,1e+01,2e+01,Byblos_District,Mount_Lebanon_Governorate,Aain Kfaa,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Kfar+Zabad,https://impact.cib.gov.lb/home#open_data_section,nan,1.5e+01,1e+01,1e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,5e+00,ZahlÃ©_District,Beqaa_Governorate,Aain Kfar Zabad,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ksour,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,2e+01,3e+01,Impact Open Data,2e+01,1e+01,5e+00,3e+01,5e+00,Aley_District,Mount_Lebanon_Governorate,Aain Ksour,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Mouaffaq,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,0e+00,1e+01,Impact Open Data,2e+01,2.5e+01,1e+01,1.5e+01,1e+01,Baabda_District,Mount_Lebanon_Governorate,Aain Mouaffaq,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ouzain,https://impact.cib.gov.lb/home#open_data_section,nan,8e+00,0e+00,2e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,2e+00,Chouf_District,Mount_Lebanon_Governorate,Aain Ouzain,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qana,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Nabatieh_District,Nabatieh_Governorate,Aain Qana,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qania,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,1e+01,6e+01,Impact Open Data,4e+01,3e+01,2e+01,3e+01,1e+01,Chouf_District,Mount_Lebanon_Governorate,Aain Qania,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qinia,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,2e+00,2e+00,Impact Open Data,1.5e+01,2e+01,1e+01,5e+01,1e+00,Hasbaya_District,Nabatieh_Governorate,Aain Qinia,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Saadeh,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Matn_District,Mount_Lebanon_Governorate,Aain Saadeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,0e+00,1.5e+01,Impact Open Data,5e+01,3e+01,1e+00,2e+00,1e+00,Akkar_District,Akkar_Governorate,Aain Tinta,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Traz,https://impact.cib.gov.lb/home#open_data_section,nan,3e+00,0e+00,2e+01,Impact Open Data,3e+01,2.5e+01,1e+01,1e+01,2e+00,Aley_District,Mount_Lebanon_Governorate,Aain Traz,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,1e+01,2e+01,Impact Open Data,2e+01,1.5e+01,2e+01,1.5e+01,5e+00,Akkar_District,Akkar_Governorate,Aain Yaaqoub,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Zebdeh,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,2.7e+01,Impact Open Data,2e+01,2.2e+01,9e+00,2e+01,2e+00,Western_Beqaa_District,Beqaa_Governorate,Aain Zebdeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Zhalta,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,1.5e+01,2e+01,Impact Open Data,1.5e+01,1.5e+01,2e+01,1e+01,1e+01,Chouf_District,Mount_Lebanon_Governorate,Aain Zhalta,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+challal,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,1e+01,1e+01,Impact Open Data,1e+01,5e+01,1e+01,1e+01,5e+00,Byblos_District,Mount_Lebanon_Governorate,Aain challal,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aainbal,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Chouf_District,Mount_Lebanon_Governorate,Aainbal,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaita+Ej-Jabal,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,2e+00,1.5e+01,Impact Open Data,3e+01,2e+01,2e+01,9e+00,5e+00,Bint_Jbeil_District,Nabatieh_Governorate,Aaita Ej-Jabal,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,3e+00,1e+01,Impact Open Data,2e+01,3e+01,5e+00,3e+01,3e+00,Akkar_District,Akkar_Governorate,Aaiyat,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aajaltoun,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Keserwan_District,Mount_Lebanon_Governorate,Aajaltoun,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,5e+00,1.5e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,5e+00,Akkar_District,Akkar_Governorate,Aakkar El-Aatiqa,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaley,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,1e+01,2e+01,Impact Open Data,2e+01,2e+01,5e+00,2e+01,5e+00,Aley_District,Mount_Lebanon_Governorate,Aaley,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaley+Bsatine,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,5.5e+01,Impact Open Data,1e+01,1e+01,1e+01,1e+01,5e+00,Aley_District,Mount_Lebanon_Governorate,Aaley Bsatine,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aali+En-Nahri,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,0e+00,1.5e+01,Impact Open Data,3e+01,2.5e+01,1e+01,1e+01,5e+00,ZahlÃ©_District,Beqaa_Governorate,Aali En-Nahri,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalma,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,NaN,9e+00,Impact Open Data,2e+01,3e+01,1e+01,2e+01,1e+00,Zgharta_District,North_Governorate,Aalma,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalma+Ech-Chaab,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,7e+01,Impact Open Data,1.4e+01,1e+00,1e+01,0e+00,5e+00,Tyre_District,South_Governorate,Aalma Ech-Chaab,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalman,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,0e+00,1e+01,Impact Open Data,1.5e+01,5e+01,4e+00,2e+01,0e+00,Marjeyoun_District,Nabatieh_Governorate,Aalman,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalmane+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,0e+00,2.5e+01,Impact Open Data,1e+01,2e+01,1e+01,2e+01,1e+01,Chouf_District,Mount_Lebanon_Governorate,Aalmane Ech-Chouf,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aamaret+El-Baykat,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,8e+00,8e+00,Impact Open Data,2.5e+01,2e+01,1e+01,3e+01,2e+00,Akkar_District,Akkar_Governorate,Aamaret El-Baykat,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aamayer,https://impact.cib.gov.lb/home#open_data_section,nan,6e+00,1e+00,5e+00,Impact Open Data,1.2e+01,2.2e+01,1e+01,4.5e+01,0e+00,Akkar_District,Akkar_Governorate,Aamayer,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aamchit,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,6e+01,Impact Open Data,1.5e+01,7e+00,1e+01,3e+00,5e+00,Byblos_District,Mount_Lebanon_Governorate,Aamchit,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aammatour,https://impact.cib.gov.lb/home#open_data_section,nan,0e+00,0e+00,2.6e+01,Impact Open Data,3.5e+01,2e+01,5e+00,1e+01,4e+00,Chouf_District,Mount_Lebanon_Governorate,Aammatour,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aammiq+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,nan,1.5e+01,2e+00,3.3e+01,Impact Open Data,1e+01,2.4e+01,1e+01,1e+00,2e+00,Western_Beqaa_District,Beqaa_Governorate,Aammiq Ech-Chouf,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aana,https://impact.cib.gov.lb/home#open_data_section,nan,1e+01,5e+00,3.5e+01,Impact Open Data,1.5e+01,1.5e+01,1e+01,1e+01,5e+00,Western_Beqaa_District,Beqaa_Governorate,Aana,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aandqet,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,0e+00,3e+01,Impact Open Data,1.5e+01,2e+01,1e+01,2e+01,4e+00,Akkar_District,Akkar_Governorate,Aandqet,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aanjar+%28Haouch+Moussa%29,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,0e+00,5e+01,Impact Open Data,1e+01,1e+01,2e+01,3e+00,5e+00,ZahlÃ©_District,Beqaa_Governorate,Aanjar (Haouch Moussa),Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aanout,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,2e+00,9.7e+01,Impact Open Data,2e+01,3e+00,1e+01,3e+00,3e+00,Chouf_District,Mount_Lebanon_Governorate,Aanout,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aanqoun,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,5e+00,1.2e+01,Impact Open Data,2e+01,2.2e+01,2e+01,2e+01,4e+00,Sidon_District,South_Governorate,Aanqoun,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaouaainat+Aakkar,https://impact.cib.gov.lb/home#open_data_section,nan,1e+00,1e+02,2e+01,Impact Open Data,1.5e+01,2e+01,1.2e+01,2e+01,1.2e+01,Akkar_District,Akkar_Governorate,Aaouaainat Aakkar,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaqabet+Rachaya,https://impact.cib.gov.lb/home#open_data_section,nan,8e+00,1e+00,1e+01,Impact Open Data,3e+01,2e+01,1.5e+01,1.5e+01,2e+00,Rashaya_District,Beqaa_Governorate,Aaqabet Rachaya,Educational_Level-Lebanon-2023
